num,startBy,endBy,next,start,end,size,log_2,
1,adpcm_coder,.LPIC0,2,1,18,272,9,
2,.LPIC0,b->.L2,28,18,26,128,7,
3,.L15,beq->.L3,5,26,42,256,8,
4,beq->.L3,.L3,5,42,45,48,6,
5,.L3,blt->.L4,7,45,54,144,8,
6,blt->.L4,.L4,7,54,64,160,8,
7,.L4,blt->.L5,9,64,71,112,7,
8,blt->.L5,.L5,9,71,82,176,8,
9,.L5,blt->.L6,11,82,89,112,7,
10,blt->.L6,.L6,11,89,96,112,7,
11,.L6,beq->.L7,13,96,99,48,6,
12,beq->.L7,b->.L8,14,99,104,80,7,
13,.L7,.L8,14,104,108,64,6,
14,.L8,blt->.L9,16,108,111,48,6,
15,blt->.L9,b->.L10,18,111,114,48,6,
16,.L9,bge->.L10,18,114,117,48,6,
17,bge->.L10,.L10,18,117,120,48,6,
18,.L10,.LPIC1,19,120,125,80,7,
19,.LPIC1,bge->.L11,21,125,135,160,8,
20,bge->.L11,.L11,21,135,137,32,5,
21,.L11,ble->.L12,23,137,140,48,6,
22,ble->.L12,.L12,23,140,142,32,5,
23,.L12,.LPIC2,24,142,143,16,4,
24,.LPIC2,beq->.L13,26,143,151,128,7,
25,beq->.L13,b->.L14,27,151,156,80,7,
26,.L13,.L14,27,156,168,192,8,
27,.L14,.L2,28,168,178,160,8,
28,.L2,bgt->.L15,3,178,181,48,6,
29,bgt->.L15,bne->.L16,31,181,184,48,6,
30,bne->.L16,.L16,31,184,190,96,7,
31,.L16,bx->lr,end,190,202,192,8,
32,adpcm_decoder,.LPIC3,33,202,219,272,9,
33,.LPIC3,b->.L20,57,219,227,128,7,
34,.L32,beq->.L21,36,227,230,48,6,
35,beq->.L21,b->.L22,37,230,234,64,6,
36,.L21,.L22,37,234,243,144,8,
37,.L22,.LPIC4,38,243,251,128,7,
38,.LPIC4,bge->.L23,40,251,261,160,8,
39,bge->.L23,.L23,40,261,263,32,5,
40,.L23,ble->.L24,42,263,266,48,6,
41,ble->.L24,.L24,42,266,268,32,5,
42,.L24,beq->.L25,44,268,281,208,8,
43,beq->.L25,.L25,44,281,285,64,6,
44,.L25,beq->.L26,46,285,289,64,6,
45,beq->.L26,.L26,46,289,294,80,7,
46,.L26,beq->.L27,48,294,298,64,6,
47,beq->.L27,.L27,48,298,303,80,7,
48,.L27,beq->.L28,50,303,306,48,6,
49,beq->.L28,b->.L29,51,306,311,80,7,
50,.L28,.L29,51,311,315,64,6,
51,.L29,blt->.L30,53,315,318,48,6,
52,blt->.L30,b->.L31,55,318,321,48,6,
53,.L30,bge->.L31,55,321,324,48,6,
54,bge->.L31,.L31,55,324,327,48,6,
55,.L31,.LPIC5,56,327,328,16,4,
56,.LPIC5,.L20,57,328,341,208,8,
57,.L20,bgt->.L32,34,341,344,48,6,
58,bgt->.L32,bx->lr,end,344,356,192,8,
num,in_degree,out_degree,
1,0,1,
2,1,1,
28,2,1,
3,1,2,
4,1,1,
5,2,1,
7,2,1,
6,0,1,
9,2,1,
8,0,1,
11,2,2,
10,0,1,
12,1,1,
13,1,1,
14,2,1,
16,1,1,
15,0,1,
18,3,1,
17,0,1,
19,1,1,
21,2,2,
20,0,1,
22,1,1,
23,2,1,
24,1,2,
25,1,1,
26,1,1,
27,2,1,
29,0,1,
31,2,1,
30,0,1,
end,2,0,
32,0,1,
33,1,1,
57,2,1,
34,1,2,
35,1,1,
36,1,1,
37,2,1,
38,1,1,
40,2,2,
39,0,1,
41,1,1,
42,2,2,
43,1,1,
44,2,2,
45,1,1,
46,2,2,
47,1,1,
48,2,2,
49,1,1,
50,1,1,
51,2,1,
53,1,1,
52,0,1,
55,3,1,
54,0,1,
56,1,1,
58,0,1,
