num,startBy,endBy,next,start,end,size,log_2,
1,updateCRC32,.LPIC0,2,1,11,160,8,
2,.LPIC0,bx->lr,end,11,21,160,8,
3,crc32file,.LPIC1,4,21,32,176,8,
4,.LPIC1,bl->fopen(PLT),end,32,36,64,6,
5,bl->fopen(PLT),bne->.L8,10,36,39,48,6,
6,bne->.L8,bl->perror(PLT),end,39,41,32,5,
15,bl->perror(PLT),.L10,16,68,71,48,6,
8,.L9,.LPIC2,9,43,52,144,8,
9,.LPIC2,.L8,10,52,56,64,6,
10,.L8,bl->_IO_getc(PLT),end,56,58,32,5,
11,bl->_IO_getc(PLT),bne->.L9,8,58,61,48,6,
12,bne->.L9,bl->ferror(PLT),end,61,63,32,5,
13,bl->ferror(PLT),beq->.L10,16,63,66,48,6,
14,beq->.L10,bl->perror(PLT),end,66,68,32,5,
16,.L10,bl->fclose(PLT),end,71,73,32,5,
17,bl->fclose(PLT),.L7,18,73,77,64,6,
18,.L7,.L12,end,77,81,64,6,
19,crc32buf,b->.L14,22,81,88,112,7,
20,.L15,.LPIC3,21,88,92,64,6,
21,.LPIC3,.L14,22,92,102,160,8,
22,.L14,bne->.L15,20,102,105,48,6,
23,bne->.L15,bx->lr,end,105,111,96,7,
24,main,.LPIC4,25,111,117,96,7,
25,.LPIC4,b->.L20,29,117,124,112,7,
26,.L21,bl->crc32file(PLT),end,124,133,144,8,
27,bl->crc32file(PLT),.LPIC5,28,133,140,112,7,
28,.LPIC5,.L20,29,140,142,32,5,
29,.L20,bgt->.L21,26,142,148,96,7,
30,bgt->.L21,beq->.L23,32,148,160,192,8,
31,beq->.L23,.L23,32,160,161,16,4,
32,.L23,.L25,end,161,164,48,6,
num,in_degree,out_degree,
1,0,1,
2,1,1,
end,11,0,
3,0,1,
4,1,1,
5,0,1,
10,2,1,
6,0,1,
15,0,1,
16,2,1,
8,1,1,
9,1,1,
11,0,1,
12,0,1,
13,0,2,
14,1,1,
17,0,1,
18,1,1,
19,0,1,
22,2,1,
20,1,1,
21,1,1,
23,0,1,
24,0,1,
25,1,1,
29,2,1,
26,1,1,
27,0,1,
28,1,1,
30,0,2,
31,1,1,
32,2,1,
