num,startBy,endBy,next,start,end,size,log_2,
1,lame_init_params,.LPIC2,2,1,6,80,7,
2,.LPIC2,.LPIC0,3,6,10,64,6,
3,.LPIC0,bl->memset(PLT),end,10,13,48,6,
605,bl->memset(PLT),b->.L303,616,3906,3911,80,7,
5,.LPIC1,bl->memset(PLT),end,16,19,48,6,
7,bl->InitFormatBitStream(PLT),bne->.L2,9,23,27,64,6,
8,bne->.L2,.L2,9,27,30,48,6,
9,.L2,bne->.L3,11,30,37,112,7,
10,bne->.L3,.L3,11,37,40,48,6,
11,.L3,bne->.L4,37,40,44,64,6,
25,bne->.L4,ble->.L4,37,118,123,80,7,
13,ble->.L5,b->.L6,23,53,57,64,6,
14,.L5,ble->.L7,16,57,62,80,7,
15,ble->.L7,b->.L6,23,62,66,64,6,
16,.L7,blt->.L8,18,66,70,64,6,
17,blt->.L8,b->.L6,23,70,74,64,6,
18,.L8,ble->.L9,20,74,79,80,7,
19,ble->.L9,b->.L6,23,79,83,64,6,
20,.L9,ble->.L10,22,83,88,80,7,
21,ble->.L10,b->.L6,23,88,92,64,6,
22,.L10,.L6,23,92,95,48,6,
23,.L6,ble->.L4,37,95,99,64,6,
26,ble->.L4,bgt->.L12,28,123,140,272,9,
27,bgt->.L12,b->.L4,37,140,144,64,6,
28,.L12,bgt->.L13,30,144,149,80,7,
29,bgt->.L13,b->.L4,37,149,153,64,6,
30,.L13,bgt->.L14,32,153,158,80,7,
31,bgt->.L14,b->.L4,37,158,162,64,6,
32,.L14,bgt->.L15,34,162,166,64,6,
33,bgt->.L15,b->.L4,37,166,170,64,6,
34,.L15,bgt->.L16,36,170,175,80,7,
35,bgt->.L16,b->.L4,37,175,179,64,6,
36,.L16,.L4,37,179,182,48,6,
37,.L4,bgt->.L17,39,182,187,80,7,
38,bgt->.L17,b->.L18,40,187,189,32,5,
39,.L17,.L18,40,189,190,16,4,
40,.L18,bne->.L19,43,190,205,240,8,
42,bne->.L19,.L19,43,212,215,48,6,
43,.L19,beq->.L20,45,215,223,128,7,
44,beq->.L20,.L20,45,223,232,144,8,
45,.L20,blt->.L21,47,232,254,352,9,
46,blt->.L21,.L21,47,254,257,48,6,
47,.L21,beq->.L22,50,257,276,304,9,
48,beq->.L22,ble->.L22,50,276,281,80,7,
49,ble->.L22,.L22,50,281,288,112,7,
50,.L22,bne->.L24,54,288,292,64,6,
51,bne->.L24,beq->.L24,54,292,296,64,6,
52,beq->.L24,bpl->.L24,54,296,301,80,7,
53,bpl->.L24,.L24,54,301,304,48,6,
54,.L24,bne->.L26,59,304,308,64,6,
55,bne->.L26,bl->log(PLT),end,308,314,96,7,
56,bl->log(PLT),bl->floor(PLT),end,314,321,112,7,
417,bl->floor(PLT),blt->.L229,419,2784,2790,96,7,
58,bgt->.L26,.L26,59,329,343,224,8,
59,.L26,ble->.L27,70,343,347,64,6,
60,ble->.L27,blt->.L28,62,347,362,240,8,
61,blt->.L28,b->.L29,63,362,377,240,8,
