num,startBy,endBy,next,start,end,size,log_2,
1,bit,bx->lr,end,1,18,272,9,
2,pat_count,blt->.L4,4,18,28,160,8,
3,blt->.L4,b->.L5,7,28,30,32,5,
4,.L4,bl->pat_count(PLT),end,30,38,128,7,
6,bl->pat_count(PLT),.L5,7,48,53,80,7,
7,.L5,insertR,8,53,57,64,6,
8,insertR,ble->.L7,10,57,69,192,8,
9,ble->.L7,bhi->.L8,19,69,73,64,6,
10,.L7,bl->bit(PLT),end,73,82,144,8,
142,bl->bit(PLT),beq->.L74,144,703,706,48,6,
12,beq->.L9,b->.L10,14,85,87,32,5,
13,.L9,.L10,14,87,88,16,4,
14,.L10,bl->bit(PLT),end,88,95,112,7,
16,beq->.L11,b->.L12,18,98,100,32,5,
17,.L11,.L12,18,100,101,16,4,
18,.L12,b->.L13,26,101,105,64,6,
19,.L8,bl->bit(PLT),end,105,112,112,7,
21,beq->.L14,bl->insertR(PLT),end,115,121,96,7,
71,bl->insertR(PLT),.L36,72,374,377,48,6,
23,.L14,bl->insertR(PLT),end,125,131,96,7,
25,.L15,.L13,26,134,135,16,4,
26,.L13,pat_insert,27,135,139,64,6,
27,pat_insert,beq->.L17,30,139,147,128,7,
29,beq->.L17,bne->.L18,31,150,154,64,6,
30,.L17,b->.L19,73,154,156,32,5,
31,.L18,.L22,32,156,166,160,8,
32,.L22,bl->bit(PLT),end,166,175,144,8,
34,beq->.L20,b->.L21,36,178,181,48,6,
35,.L20,.L21,36,181,183,32,5,
36,.L21,blt->.L22,32,183,189,96,7,
37,blt->.L22,bne->.L23,60,189,195,96,7,
38,bne->.L23,b->.L24,44,195,198,48,6,
39,.L26,bne->.L25,43,198,209,176,8,
40,bne->.L25,bl->free(PLT),end,209,222,208,8,
135,bl->free(PLT),.L40,136,664,668,64,6,
43,.L25,.L24,44,228,231,48,6,
44,.L24,blt->.L26,39,231,236,80,7,
45,blt->.L26,bl->malloc(PLT),end,236,241,80,7,
129,bl->malloc(PLT),b->.L66,133,618,625,112,7,
47,.L30,bls->.L28,50,250,261,176,8,
48,bls->.L28,bl->bcopy(PLT),end,261,270,144,8,
50,.L28,bl->bcopy(PLT),end,274,280,96,7,
52,.L29,.L27,53,286,289,48,6,
53,.L27,blt->.L30,47,289,294,80,7,
54,blt->.L30,bne->.L31,56,294,297,48,6,
55,bne->.L31,bl->bcopy(PLT),end,297,303,96,7,
56,.L31,bl->free(PLT),end,303,307,64,6,
60,.L23,b->.L32,62,325,328,48,6,
61,.L34,.L32,62,328,331,48,6,
62,.L32,bgt->.L33,66,331,334,48,6,
63,bgt->.L33,bl->bit(PLT),end,334,339,80,7,
66,.L33,bl->bit(PLT),end,348,355,112,7,
68,beq->.L35,bl->insertR(PLT),end,358,364,96,7,
70,.L35,bl->insertR(PLT),end,368,374,96,7,
72,.L36,.L19,73,377,378,16,4,
73,.L19,pat_remove,74,378,382,64,6,
74,pat_remove,beq->.L38,77,382,390,128,7,
76,beq->.L38,bne->.L39,78,394,397,48,6,
77,.L38,b->.L40,136,397,399,32,5,
78,.L39,.L43,79,399,405,96,7,
79,.L43,bl->bit(PLT),end,405,418,208,8,
81,beq->.L41,b->.L42,83,421,424,48,6,
82,.L41,.L42,83,424,426,32,5,
83,.L42,blt->.L43,79,426,432,96,7,
84,blt->.L43,beq->.L44,86,432,438,96,7,
85,beq->.L44,b->.L40,136,438,440,32,5,
86,.L44,bne->.L45,120,440,443,48,6,
87,bne->.L45,bne->.L46,89,443,446,48,6,
88,bne->.L46,b->.L40,136,446,448,32,5,
89,.L46,beq->.L47,91,448,456,128,7,
90,beq->.L47,b->.L40,136,456,458,32,5,
91,.L47,.L50,92,458,462,64,6,
92,.L50,bl->bit(PLT),end,462,473,176,8,
94,beq->.L48,b->.L49,96,476,479,48,6,
95,.L48,.L49,96,479,481,32,5,
96,.L49,blt->.L50,92,481,487,96,7,
97,blt->.L50,bl->bit(PLT),end,487,494,112,7,
99,beq->.L51,b->.L52,101,497,501,64,6,
100,.L51,.L52,101,501,504,48,6,
101,.L52,bl->bit(PLT),end,504,511,112,7,
103,beq->.L53,bl->bit(PLT),end,514,521,112,7,
105,beq->.L54,b->.L55,107,524,527,48,6,
106,.L54,.L55,107,527,529,32,5,
107,.L55,b->.L56,113,529,532,48,6,
108,.L53,bl->bit(PLT),end,532,539,112,7,
110,beq->.L57,b->.L58,112,542,545,48,6,
111,.L57,.L58,112,545,547,32,5,
112,.L58,.L56,113,547,549,32,5,
113,.L56,beq->.L59,115,549,554,80,7,
114,beq->.L59,bl->free(PLT),end,554,559,80,7,
115,.L59,bl->free(PLT),end,559,563,64,6,
117,beq->.L60,.L60,118,567,578,176,8,
118,.L60,bl->free(PLT),end,578,580,32,5,
120,.L45,b->.L61,123,582,585,48,6,
121,.L64,beq->.L69,125,585,596,176,8,
122,beq->.L69,.L61,123,596,599,48,6,
123,.L61,blt->.L64,121,599,604,80,7,
124,blt->.L64,b->.L63,126,604,605,16,4,
125,.L69,.L63,126,605,606,16,4,
126,.L63,blt->.L65,128,606,611,80,7,
127,blt->.L65,b->.L40,136,611,613,32,5,
128,.L65,bl->malloc(PLT),end,613,618,80,7,
130,.L68,beq->.L67,132,625,636,176,8,
131,beq->.L67,bl->bcopy(PLT),end,636,647,176,8,
132,.L67,.L66,133,647,650,48,6,
133,.L66,blt->.L68,130,650,655,80,7,
134,blt->.L68,bl->free(PLT),end,655,664,144,8,
136,.L40,pat_search,137,668,672,64,6,
137,pat_search,bne->.L71,139,672,684,192,8,
138,bne->.L71,b->.L72,149,684,686,32,5,
139,.L71,bne->.L73,141,686,695,144,8,
140,bne->.L73,.L73,141,695,697,32,5,
141,.L73,bl->bit(PLT),end,697,703,96,7,
143,beq->.L74,b->.L75,145,706,709,48,6,
144,.L74,.L75,145,709,711,32,5,
145,.L75,blt->.L71,139,711,717,96,7,
