num,startBy,endBy,next,start,end,size,log_2,
1,usage,.LPIC0,2,1,4,48,6,
2,.LPIC0,bl->puts(PLT),end,4,7,48,6,
660,bl->puts(PLT),bl->exit(PLT),end,10929,10931,32,5,
4,.LPIC1,bl->puts(PLT),end,8,11,48,6,
6,.LPIC2,bl->puts(PLT),end,12,15,48,6,
8,.LPIC3,bl->puts(PLT),end,16,19,48,6,
10,.LPIC4,bl->puts(PLT),end,20,23,48,6,
12,.LPIC5,bl->puts(PLT),end,24,27,48,6,
14,.LPIC6,bl->puts(PLT),end,28,31,48,6,
16,.LPIC7,bl->puts(PLT),end,32,35,48,6,
18,.LPIC8,bl->puts(PLT),end,36,39,48,6,
20,.LPIC9,bl->puts(PLT),end,40,43,48,6,
22,.LPIC10,bl->puts(PLT),end,44,47,48,6,
24,.LPIC11,bl->puts(PLT),end,48,51,48,6,
26,.LPIC12,bl->puts(PLT),end,52,55,48,6,
28,getint,.LPIC13,29,57,65,128,7,
29,.LPIC13,bl->_IO_getc(PLT),end,65,78,208,8,
43,bl->_IO_getc(PLT),bne->.L10,45,149,155,96,7,
31,.L9,bne->.L5,33,79,84,80,7,
32,bne->.L5,bl->fgets(PLT),end,84,91,112,7,
33,.L5,bne->.L6,37,91,96,80,7,
34,bne->.L6,.LPIC14,35,96,100,64,6,
35,.LPIC14,.LPIC15,36,100,102,32,5,
36,.LPIC15,bl->exit(PLT),end,102,107,80,7,
37,.L6,ble->.L7,39,107,112,80,7,
38,ble->.L7,ble->.L17,41,112,117,80,7,
39,.L7,bl->_IO_getc(PLT),end,117,123,96,7,
41,.L17,.L13,42,125,130,80,7,
42,.L13,bl->_IO_getc(PLT),end,130,149,304,9,
44,bne->.L10,b->.L14,49,155,159,64,6,
45,.L10,ble->.L12,48,159,164,80,7,
46,ble->.L12,bgt->.L12,48,164,169,80,7,
47,bgt->.L12,b->.L13,42,169,170,16,4,
48,.L12,.L14,49,170,173,48,6,
49,.L14,beq->.L15,51,173,182,144,8,
50,beq->.L15,.L15,51,182,183,16,4,
51,.L15,.L19,end,183,187,64,6,
52,get_image,.LPIC16,53,187,195,128,7,
53,.LPIC16,.LPIC17,54,195,201,96,7,
54,.LPIC17,bl->fopen(PLT),end,201,205,64,6,
79,bl->fopen(PLT),bne->.L29,82,318,322,64,6,
56,bne->.L21,.LPIC18,57,209,214,80,7,
57,.LPIC18,bl->exit(PLT),end,214,219,80,7,
58,.L21,bl->fgetc(PLT),end,219,221,32,5,
60,bl->fgetc(PLT),bne->.L22,62,226,231,80,7,
61,bne->.L22,beq->.L23,64,231,233,32,5,
62,.L22,.LPIC19,63,233,238,80,7,
63,.LPIC19,bl->exit(PLT),end,238,243,80,7,
64,.L23,bl->getint(PLT),end,243,245,32,5,
