num,startBy,endBy,next,start,end,size,log_2,
1,IsPowerOfTwo,bhi->.L2,3,1,8,112,7,
2,bhi->.L2,b->.L3,6,8,10,32,5,
3,.L2,beq->.L4,5,10,16,96,7,
4,beq->.L4,b->.L3,6,16,18,32,5,
5,.L4,.L3,6,18,19,16,4,
6,.L3,bx->lr,end,19,24,80,7,
7,NumberOfBitsNeeded,.LPIC0,8,24,29,80,7,
8,.LPIC0,bhi->.L6,11,29,33,64,6,
9,bhi->.L6,.LPIC1,10,33,38,80,7,
10,.LPIC1,bl->exit(PLT),end,38,43,80,7,
11,.L6,.L9,12,43,45,32,5,
12,.L9,beq->.L7,14,45,53,128,7,
13,beq->.L7,b->.L10,15,53,55,32,5,
14,.L7,b->.L9,12,55,59,64,6,
15,.L10,.L12,end,59,63,64,6,
16,ReverseBits,b->.L14,18,63,73,160,8,
17,.L15,.L14,18,73,85,192,8,
18,.L14,bcc->.L15,17,85,89,64,6,
19,bcc->.L15,bx->lr,end,89,95,96,7,
20,Index_to_frequency,bcc->.L18,22,95,104,144,8,
21,bcc->.L18,b->.L19,25,104,106,32,5,
22,.L18,bhi->.L20,24,106,111,80,7,
23,bhi->.L20,b->.L19,25,111,117,96,7,
24,.L20,.L19,25,117,125,128,7,
25,.L19,bx->lr,end,125,130,80,7,
num,in_degree,out_degree,
1,0,1,
3,1,2,
2,0,1,
6,3,1,
4,1,1,
5,1,1,
end,5,0,
7,0,1,
8,1,1,
11,1,1,
9,0,1,
10,1,1,
12,2,2,
13,1,1,
14,1,1,
15,1,1,
16,0,1,
18,2,1,
17,1,1,
19,0,1,
20,0,1,
22,1,1,
21,0,1,
25,3,1,
24,1,1,
23,0,1,
