Label,StartPoint,EndPoint,Size,log_2,
empty,1,335,334,9,
indexTable,335,565,230,8,
stepsizeTable,565,1700,1135,11,
adpcm_coder,1700,2151,451,9,
.LPIC0,2151,2286,135,8,
.L15,2286,2619,333,9,
.L3,2619,2949,330,9,
.L4,2949,3269,320,9,
.L5,3269,3515,246,8,
.L6,3515,3641,126,7,
.L7,3641,3719,78,7,
.L8,3719,3812,93,7,
.L9,3812,3913,101,7,
.L10,3913,4009,96,7,
.LPIC1,4009,4213,204,8,
.L11,4213,4294,81,7,
.L12,4294,4316,22,5,
.LPIC2,4316,4529,213,8,
.L13,4529,4729,200,8,
.L14,4729,4887,158,8,
.L2,4887,5075,188,8,
.L16,5075,5288,213,8,
.L18,5288,5304,16,4,
.L17,5304,5556,252,8,
adpcm_decoder,5556,6009,453,9,
.LPIC3,6009,6145,136,8,
.L32,6145,6255,110,7,
.L21,6255,6423,168,8,
.L22,6423,6544,121,7,
.LPIC4,6544,6748,204,8,
.L23,6748,6829,81,7,
.L24,6829,7128,299,9,
.L25,7128,7281,153,8,
.L26,7281,7434,153,8,
.L27,7434,7563,129,8,
.L28,7563,7642,79,7,
.L29,7642,7737,95,7,
.L30,7737,7839,102,7,
.L31,7839,7861,22,5,
.LPIC5,7861,8120,259,9,
.L20,8120,8373,253,8,
.L34,8373,8389,16,4,
.L33,8389,8395,137,8,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,307,306,9,
.LC0,307,375,68,7,
.LC1,375,381,6,3,
	.ascii	"Solutions,381,416,35,6,
.LC2,416,450,34,6,
.LC3,450,520,70,7,
.LC4,520,570,50,6,
.LC5,570,619,49,6,
.LC6,619,688,69,7,
.LC7,688,752,64,6,
.LC8,752,783,31,5,
.LC9,783,945,162,8,
main,945,1104,159,8,
.LPIC0,1104,1532,428,9,
.LPIC1,1532,1761,229,8,
.LPIC2,1761,1847,86,7,
.L3,1847,1971,124,7,
.LPIC3,1971,2072,101,7,
.L2,2072,2584,512,9,
.LPIC4,2584,2670,86,7,
.L5,2670,2794,124,7,
.LPIC5,2794,2895,101,7,
.L4,2895,3407,512,9,
.LPIC6,3407,3493,86,7,
.L7,3493,3617,124,7,
.LPIC7,3617,3718,101,7,
.L6,3718,4226,508,9,
.LPIC8,4226,4312,86,7,
.L9,4312,4436,124,7,
.LPIC9,4436,4537,101,7,
.L8,4537,5041,504,9,
.LPIC10,5041,5129,88,7,
.L11,5129,5254,125,7,
.LPIC11,5254,5356,102,7,
.L10,5356,5854,498,9,
.LPIC12,5854,5942,88,7,
.L13,5942,6067,125,7,
.LPIC13,6067,6169,102,7,
.L12,6169,6679,510,9,
.LPIC14,6679,6767,88,7,
.L15,6767,6892,125,7,
.LPIC15,6892,6994,102,7,
.L14,6994,7494,500,9,
.LPIC16,7494,7582,88,7,
.L17,7582,7707,125,7,
.LPIC17,7707,7809,102,7,
.L16,7809,7968,159,8,
.L27,7968,8042,74,7,
.L26,8042,8116,74,7,
.L25,8116,8190,74,7,
