num,startBy,endBy,next,start,end,size,log_2,
1,compare,ble->.L9,3,1,17,256,8,
2,ble->.L9,b->.L7,6,17,19,32,5,
3,.L9,bne->.L5,5,19,24,80,7,
4,bne->.L5,b->.L7,6,24,26,32,5,
5,.L5,.L7,6,26,27,16,4,
6,.L7,bx->lr,end,27,32,80,7,
7,main,.LPIC0,8,32,53,336,9,
8,.LPIC0,bgt->.L11,12,53,78,400,9,
9,bgt->.L11,.LPIC1,10,78,84,96,7,
10,.LPIC1,bl->fwrite(PLT),end,84,86,32,5,
11,bl->fwrite(PLT),bl->exit(PLT),end,86,88,32,5,
12,.L11,.LPIC2,13,88,104,256,8,
13,.LPIC2,bl->fopen(PLT),end,104,108,64,6,
14,bl->fopen(PLT),b->.L12,20,108,110,32,5,
15,.L14,bl->pow(PLT),end,110,189,1264,11,
18,bl->pow(PLT),bl->sqrt(PLT),end,214,218,64,6,
19,bl->sqrt(PLT),.L12,20,218,252,544,10,
20,.L12,.LPIC3,21,252,262,160,8,
21,.LPIC3,bl->__isoc99_fscanf(PLT),end,262,265,48,6,
28,bl->__isoc99_fscanf(PLT),bne->.L13,30,303,306,48,6,
29,bne->.L13,ble->.L14,15,306,316,160,8,
24,.LPIC4,bl->__isoc99_fscanf(PLT),end,281,284,48,6,
27,.LPIC5,bl->__isoc99_fscanf(PLT),end,300,303,48,6,
30,.L13,.LPIC6,31,316,324,128,7,
31,.LPIC6,.LPIC7,32,324,341,272,9,
32,.LPIC7,bl->qsort(PLT),end,341,344,48,6,
33,bl->qsort(PLT),b->.L15,36,344,353,144,8,
34,.L16,.LPIC8,35,353,409,896,10,
35,.LPIC8,.L15,36,409,426,272,9,
36,.L15,blt->.L16,34,426,442,256,8,
37,blt->.L16,beq->.L18,39,442,453,176,8,
38,beq->.L18,.L18,39,453,454,16,4,
39,.L18,.L20,end,454,460,96,7,
num,in_degree,out_degree,
1,0,2,
2,1,1,
3,1,1,
6,3,1,
5,1,1,
4,0,1,
end,11,0,
7,0,1,
8,1,1,
12,1,1,
9,0,1,
10,1,1,
11,0,1,
13,1,1,
14,0,1,
20,2,1,
15,1,1,
18,0,1,
19,0,1,
21,1,1,
28,0,1,
30,2,1,
29,0,2,
24,0,1,
27,0,1,
31,1,1,
32,1,1,
33,0,1,
36,2,1,
34,1,1,
35,1,1,
37,0,2,
38,1,1,
39,2,1,
