push {r4, r7, lr},
sub sp, #364,
add r7, sp, #0,
adds r3, r7, #4,
str r0, [r3, #0],
ldr.w r2, [pc, #1112],
add r2, pc,
ldr.w r3, [pc, #1108],
ldr r3, [r2, r3],
ldr r3, [r3, #0],
str.w r3, [r7, #356],
add.w r3, r7, #8,
movs r1, #0,
str r1, [r3, #0],
b.n 54 <sha_transform+0x54>,
adds r3, r7, #4,
ldr r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
adds r3, #6,
lsls r3, r3, #2,
add r3, r1,
ldr r0, [r3, #4],
add.w r3, r7, #36,
add.w r1, r7, #8,
ldr r1, [r1, #0],
str.w r0, [r3, r1, lsl #2],
add.w r3, r7, #8,
add.w r1, r7, #8,
ldr r1, [r1, #0],
adds r1, #1,
str r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
cmp r3, #15,
ble.n 26 <sha_transform+0x26>,
add.w r3, r7, #8,
movs r1, #16,
str r1, [r3, #0],
b.n d2 <sha_transform+0xd2>,
add.w r3, r7, #8,
ldr r3, [r3, #0],
subs r1, r3, #3,
add.w r3, r7, #36,
ldr.w r1, [r3, r1, lsl #2],
add.w r3, r7, #8,
ldr r3, [r3, #0],
sub.w r0, r3, #8,
add.w r3, r7, #36,
ldr.w r3, [r3, r0, lsl #2],
eors r1, r3,
add.w r3, r7, #8,
ldr r3, [r3, #0],
sub.w r0, r3, #14,
add.w r3, r7, #36,
ldr.w r3, [r3, r0, lsl #2],
eors r1, r3,
add.w r3, r7, #8,
ldr r3, [r3, #0],
sub.w r0, r3, #16,
add.w r3, r7, #36,
ldr.w r3, [r3, r0, lsl #2],
eor.w r0, r1, r3,
add.w r3, r7, #36,
add.w r1, r7, #8,
ldr r1, [r1, #0],
str.w r0, [r3, r1, lsl #2],
add.w r3, r7, #8,
add.w r1, r7, #8,
ldr r1, [r1, #0],
adds r1, #1,
str r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
cmp r3, #79,
ble.n 68 <sha_transform+0x68>,
add.w r3, r7, #12,
adds r1, r7, #4,
ldr r1, [r1, #0],
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #16,
adds r1, r7, #4,
ldr r1, [r1, #0],
ldr r1, [r1, #4],
str r1, [r3, #0],
add.w r3, r7, #20,
adds r1, r7, #4,
ldr r1, [r1, #0],
ldr r1, [r1, #8],
str r1, [r3, #0],
add.w r3, r7, #24,
adds r1, r7, #4,
ldr r1, [r1, #0],
ldr r1, [r1, #12],
str r1, [r3, #0],
add.w r3, r7, #28,
adds r1, r7, #4,
ldr r1, [r1, #0],
ldr r1, [r1, #16],
str r1, [r3, #0],
add.w r3, r7, #8,
movs r1, #0,
str r1, [r3, #0],
b.n 1c4 <sha_transform+0x1c4>,
add.w r3, r7, #12,
ldr r3, [r3, #0],
mov.w r1, r3, ror #27,
add.w r0, r7, #16,
add.w r3, r7, #20,
ldr r0, [r0, #0],
ldr r3, [r3, #0],
ands r0, r3,
add.w r3, r7, #16,
ldr r3, [r3, #0],
mvns r4, r3,
add.w r3, r7, #24,
ldr r3, [r3, #0],
ands r3, r4,
orrs r3, r0,
add r1, r3,
add.w r3, r7, #28,
ldr r3, [r3, #0],
add r1, r3,
add.w r3, r7, #36,
add.w r0, r7, #8,
ldr r0, [r0, #0],
ldr.w r3, [r3, r0, lsl #2],
adds r0, r1, r3,
add.w r1, r7, #32,
movw r3, #31129,
movt r3, #23170,
add r3, r0,
str r3, [r1, #0],
add.w r3, r7, #28,
add.w r1, r7, #24,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #24,
add.w r1, r7, #20,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #20,
add.w r1, r7, #16,
ldr r1, [r1, #0],
mov.w r1, r1, ror #2,
str r1, [r3, #0],
add.w r3, r7, #16,
add.w r1, r7, #12,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #12,
add.w r1, r7, #32,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #8,
add.w r1, r7, #8,
ldr r1, [r1, #0],
adds r1, #1,
str r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
cmp r3, #19,
ble.n 122 <sha_transform+0x122>,
add.w r3, r7, #8,
movs r1, #20,
str r1, [r3, #0],
b.n 270 <sha_transform+0x270>,
add.w r3, r7, #12,
ldr r3, [r3, #0],
mov.w r1, r3, ror #27,
add.w r0, r7, #16,
add.w r3, r7, #20,
ldr r0, [r0, #0],
ldr r3, [r3, #0],
eors r0, r3,
add.w r3, r7, #24,
ldr r3, [r3, #0],
eors r3, r0,
add r1, r3,
add.w r3, r7, #28,
ldr r3, [r3, #0],
add r1, r3,
add.w r3, r7, #36,
add.w r0, r7, #8,
ldr r0, [r0, #0],
ldr.w r3, [r3, r0, lsl #2],
adds r0, r1, r3,
add.w r1, r7, #32,
movw r3, #60321,
movt r3, #28377,
add r3, r0,
str r3, [r1, #0],
add.w r3, r7, #28,
add.w r1, r7, #24,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #24,
add.w r1, r7, #20,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #20,
add.w r1, r7, #16,
ldr r1, [r1, #0],
mov.w r1, r1, ror #2,
str r1, [r3, #0],
add.w r3, r7, #16,
add.w r1, r7, #12,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #12,
add.w r1, r7, #32,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #8,
add.w r1, r7, #8,
ldr r1, [r1, #0],
adds r1, #1,
str r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
cmp r3, #39,
ble.n 1d8 <sha_transform+0x1d8>,
add.w r3, r7, #8,
movs r1, #40,
str r1, [r3, #0],
b.n 32c <sha_transform+0x32c>,
add.w r3, r7, #12,
ldr r3, [r3, #0],
mov.w r1, r3, ror #27,
add.w r0, r7, #20,
add.w r3, r7, #24,
ldr r0, [r0, #0],
ldr r3, [r3, #0],
orrs r0, r3,
add.w r3, r7, #16,
ldr r3, [r3, #0],
ands r0, r3,
add.w r4, r7, #20,
add.w r3, r7, #24,
ldr r4, [r4, #0],
ldr r3, [r3, #0],
ands r3, r4,
orrs r3, r0,
add r1, r3,
add.w r3, r7, #28,
ldr r3, [r3, #0],
add r1, r3,
add.w r3, r7, #36,
add.w r0, r7, #8,
ldr r0, [r0, #0],
ldr.w r3, [r3, r0, lsl #2],
adds r0, r1, r3,
add.w r1, r7, #32,
movw r3, #48348,
movt r3, #36635,
add r3, r0,
str r3, [r1, #0],
add.w r3, r7, #28,
add.w r1, r7, #24,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #24,
add.w r1, r7, #20,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #20,
add.w r1, r7, #16,
ldr r1, [r1, #0],
mov.w r1, r1, ror #2,
str r1, [r3, #0],
add.w r3, r7, #16,
add.w r1, r7, #12,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #12,
add.w r1, r7, #32,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #8,
add.w r1, r7, #8,
ldr r1, [r1, #0],
adds r1, #1,
str r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
cmp r3, #59,
ble.n 284 <sha_transform+0x284>,
add.w r3, r7, #8,
movs r1, #60,
str r1, [r3, #0],
b.n 3d8 <sha_transform+0x3d8>,
add.w r3, r7, #12,
ldr r3, [r3, #0],
mov.w r1, r3, ror #27,
add.w r0, r7, #16,
add.w r3, r7, #20,
ldr r0, [r0, #0],
ldr r3, [r3, #0],
eors r0, r3,
add.w r3, r7, #24,
ldr r3, [r3, #0],
eors r3, r0,
add r1, r3,
add.w r3, r7, #28,
ldr r3, [r3, #0],
add r1, r3,
add.w r3, r7, #36,
add.w r0, r7, #8,
ldr r0, [r0, #0],
ldr.w r3, [r3, r0, lsl #2],
adds r0, r1, r3,
add.w r1, r7, #32,
movw r3, #49622,
movt r3, #51810,
add r3, r0,
str r3, [r1, #0],
add.w r3, r7, #28,
add.w r1, r7, #24,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #24,
add.w r1, r7, #20,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #20,
add.w r1, r7, #16,
ldr r1, [r1, #0],
mov.w r1, r1, ror #2,
str r1, [r3, #0],
add.w r3, r7, #16,
add.w r1, r7, #12,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #12,
add.w r1, r7, #32,
ldr r1, [r1, #0],
str r1, [r3, #0],
add.w r3, r7, #8,
add.w r1, r7, #8,
ldr r1, [r1, #0],
adds r1, #1,
str r1, [r3, #0],
add.w r3, r7, #8,
ldr r3, [r3, #0],
cmp r3, #79,
ble.n 340 <sha_transform+0x340>,
adds r3, r7, #4,
ldr r3, [r3, #0],
ldr r1, [r3, #0],
add.w r3, r7, #12,
ldr r3, [r3, #0],
add r1, r3,
adds r3, r7, #4,
ldr r3, [r3, #0],
str r1, [r3, #0],
adds r3, r7, #4,
ldr r3, [r3, #0],
ldr r1, [r3, #4],
add.w r3, r7, #16,
ldr r3, [r3, #0],
add r1, r3,
adds r3, r7, #4,
ldr r3, [r3, #0],
str r1, [r3, #4],
adds r3, r7, #4,
ldr r3, [r3, #0],
ldr r1, [r3, #8],
add.w r3, r7, #20,
ldr r3, [r3, #0],
add r1, r3,
adds r3, r7, #4,
ldr r3, [r3, #0],
str r1, [r3, #8],
adds r3, r7, #4,
ldr r3, [r3, #0],
ldr r1, [r3, #12],
add.w r3, r7, #24,
ldr r3, [r3, #0],
add r1, r3,
adds r3, r7, #4,
ldr r3, [r3, #0],
str r1, [r3, #12],
adds r3, r7, #4,
ldr r3, [r3, #0],
ldr r1, [r3, #16],
add.w r3, r7, #28,
ldr r3, [r3, #0],
add r1, r3,
