num,startBy,endBy,next,start,end,size,log_2,
1,sha_transform,.LPIC0,2,1,7,96,7,
2,.LPIC0,b->.L2,4,7,16,144,8,
3,.L3,.L2,4,16,33,272,9,
4,.L2,ble->.L3,3,33,37,64,6,
5,ble->.L3,b->.L4,7,37,41,64,6,
6,.L5,.L4,7,41,73,512,9,
7,.L4,ble->.L5,6,73,77,64,6,
8,ble->.L5,b->.L6,10,77,106,464,9,
9,.L7,.L6,10,106,161,880,10,
10,.L6,ble->.L7,9,161,165,64,6,
11,ble->.L7,b->.L8,13,165,169,64,6,
12,.L9,.L8,13,169,220,816,10,
13,.L8,ble->.L9,12,220,224,64,6,
14,ble->.L9,b->.L10,16,224,228,64,6,
15,.L11,.L10,16,228,285,912,10,
16,.L10,ble->.L11,15,285,289,64,6,
17,ble->.L11,b->.L12,19,289,293,64,6,
18,.L13,.L12,19,293,344,816,10,
19,.L12,ble->.L13,18,344,348,64,6,
20,ble->.L13,beq->.L14,22,348,400,832,10,
21,beq->.L14,.L14,22,400,401,16,4,
22,.L14,.L16,end,401,404,48,6,
23,byte_reverse,.LPIC1,24,404,410,96,7,
24,.LPIC1,b->.L18,26,410,423,208,8,
25,.L19,.L18,26,423,448,400,9,
26,.L18,blt->.L19,25,448,452,64,6,
27,blt->.L19,beq->.L20,29,452,459,112,7,
28,beq->.L20,.L20,29,459,460,16,4,
29,.L20,.L22,end,460,463,48,6,
30,sha_init,bx->lr,end,463,498,560,10,
31,sha_update,bcs->.L25,33,498,513,240,8,
32,bcs->.L25,.L25,33,513,518,80,7,
33,.L25,b->.L26,38,518,533,240,8,
34,.L27,bl->memcpy(PLT),end,533,539,96,7,
40,bl->memcpy(PLT),sha_final,41,561,565,64,6,
49,bl->byte_reverse(PLT),bl->sha_transform(PLT),end,627,635,128,7,
50,bl->sha_transform(PLT),sha_stream,51,635,639,64,6,
38,.L26,bgt->.L27,34,552,555,48,6,
39,bgt->.L27,bl->memcpy(PLT),end,555,561,96,7,
41,sha_final,ble->.L29,47,565,590,400,9,
42,ble->.L29,bl->memset(PLT),end,590,599,144,8,
47,.L29,bl->memset(PLT),end,613,622,144,8,
48,.L30,bl->byte_reverse(PLT),end,622,627,80,7,
51,sha_stream,.LPIC2,52,639,650,176,8,
52,.LPIC2,bl->sha_init(PLT),end,650,661,176,8,
53,bl->sha_init(PLT),b->.L32,55,661,662,16,4,
54,.L33,bl->sha_update(PLT),end,662,671,144,8,
55,.L32,bl->fread(PLT),end,671,679,128,7,
56,bl->fread(PLT),bgt->.L33,54,679,688,144,8,
