num,startBy,endBy,next,start,end,size,log_2,
2,usage,.LPIC0,3,1,4,12,4,
3,.LPIC0,bl->puts(PLT),end,4,7,12,4,
661,bl->puts(PLT),bl->exit(PLT),end,10929,10931,8,3,
5,.LPIC1,bl->puts(PLT),end,8,11,12,4,
7,.LPIC2,bl->puts(PLT),end,12,15,12,4,
9,.LPIC3,bl->puts(PLT),end,16,19,12,4,
11,.LPIC4,bl->puts(PLT),end,20,23,12,4,
13,.LPIC5,bl->puts(PLT),end,24,27,12,4,
15,.LPIC6,bl->puts(PLT),end,28,31,12,4,
17,.LPIC7,bl->puts(PLT),end,32,35,12,4,
19,.LPIC8,bl->puts(PLT),end,36,39,12,4,
21,.LPIC9,bl->puts(PLT),end,40,43,12,4,
23,.LPIC10,bl->puts(PLT),end,44,47,12,4,
25,.LPIC11,bl->puts(PLT),end,48,51,12,4,
27,.LPIC12,bl->puts(PLT),end,52,55,12,4,
29,getint,.LPIC13,30,57,65,32,5,
30,.LPIC13,bl->_IO_getc(PLT),end,65,78,52,6,
44,bl->_IO_getc(PLT),bne->.L10,46,149,155,24,5,
32,.L9,bne->.L5,34,79,84,20,5,
33,bne->.L5,bl->fgets(PLT),end,84,91,28,5,
34,.L5,bne->.L6,38,91,96,20,5,
35,bne->.L6,.LPIC14,36,96,100,16,4,
36,.LPIC14,.LPIC15,37,100,102,8,3,
37,.LPIC15,bl->exit(PLT),end,102,107,20,5,
38,.L6,ble->.L7,40,107,112,20,5,
39,ble->.L7,ble->.L17,42,112,117,20,5,
40,.L7,bl->_IO_getc(PLT),end,117,123,24,5,
42,.L17,.L13,43,125,130,20,5,
43,.L13,bl->_IO_getc(PLT),end,130,149,76,7,
45,bne->.L10,b->.L14,50,155,159,16,4,
46,.L10,ble->.L12,49,159,164,20,5,
47,ble->.L12,bgt->.L12,49,164,169,20,5,
48,bgt->.L12,b->.L13,43,169,170,4,2,
49,.L12,.L14,50,170,173,12,4,
50,.L14,beq->.L15,52,173,182,36,6,
51,beq->.L15,.L15,52,182,183,4,2,
52,.L15,.L19,end,183,187,16,4,
53,get_image,.LPIC16,54,187,195,32,5,
54,.LPIC16,.LPIC17,55,195,201,24,5,
55,.LPIC17,bl->fopen(PLT),end,201,205,16,4,
80,bl->fopen(PLT),bne->.L29,83,318,322,16,4,
57,bne->.L21,.LPIC18,58,209,214,20,5,
58,.LPIC18,bl->exit(PLT),end,214,219,20,5,
59,.L21,bl->fgetc(PLT),end,219,221,8,3,
61,bl->fgetc(PLT),bne->.L22,63,226,231,20,5,
62,bne->.L22,beq->.L23,65,231,233,8,3,
63,.L22,.LPIC19,64,233,238,20,5,
64,.LPIC19,bl->exit(PLT),end,238,243,20,5,
65,.L23,bl->getint(PLT),end,243,245,8,3,
68,bl->getint(PLT),bl->malloc(PLT),end,255,263,32,5,
696,bl->malloc(PLT),bl->setup_brightness_lut(PLT),end,11245,11254,36,6,
70,bl->fread(PLT),bne->.L24,73,278,281,12,4,
71,bne->.L24,.LPIC20,72,281,286,20,5,
72,.LPIC20,bl->exit(PLT),end,286,291,20,5,
73,.L24,bl->fclose(PLT),end,291,293,8,3,
93,bl->fclose(PLT),.L32,end,373,378,20,5,
75,beq->.L25,.L25,76,300,301,4,2,
76,.L25,.L27,end,301,304,12,4,
77,put_image,.LPIC22,78,304,312,32,5,
78,.LPIC22,.LPIC21,79,312,314,8,3,
79,.LPIC21,bl->fopen(PLT),end,314,318,16,4,
81,bne->.L29,.LPIC23,82,322,327,20,5,
82,.LPIC23,bl->exit(PLT),end,327,332,20,5,
83,.L29,.LPIC24,84,332,336,16,4,
84,.LPIC24,bl->fwrite(PLT),end,336,338,8,3,
628,bl->fwrite(PLT),bl->exit(PLT),end,10677,10679,8,3,
86,.LPIC25,.LPIC26,87,341,348,28,5,
87,.LPIC26,bl->fwrite(PLT),end,348,350,8,3,
90,beq->.L30,.LPIC27,91,361,366,20,5,
91,.LPIC27,bl->exit(PLT),end,366,371,20,5,
92,.L30,bl->fclose(PLT),end,371,373,8,3,
94,int_to_uchar,b->.L34,100,378,393,60,6,
