num,startBy,endBy,next,start,end,size,entrances
1,sha_transform,.LPIC0,2,1,8,112,0,
2,.LPIC0,b->.L2,5,8,20,192,1,
3,.L3,,4,20,32,192,1,
5,.L2,ble->.L3,3,43,48,80,2,
6,ble->.L3,b->.L4,11,48,53,80,1,
7,.L5,,8,53,67,224,1,
11,.L4,ble->.L5,7,106,111,80,2,
12,ble->.L5,,13,111,123,192,1,
15,.L7,,16,146,162,256,1,
20,.L6,ble->.L7,15,225,230,80,2,
21,ble->.L7,b->.L8,27,230,235,80,1,
22,.L9,,23,235,250,240,1,
27,.L8,ble->.L9,22,309,314,80,2,
28,ble->.L9,b->.L10,35,314,319,80,1,
29,.L11,,30,319,333,224,1,
35,.L10,ble->.L11,29,401,406,80,2,
36,ble->.L11,b->.L12,42,406,411,80,1,
37,.L13,,38,411,426,240,1,
42,.L12,ble->.L13,37,485,490,80,2,
43,ble->.L13,,44,490,505,240,1,
47,beq->.L14,.L14,48,547,548,16,1,
48,.L14,.L16,end,548,551,48,2,
49,byte_reverse,.LPIC1,50,551,557,96,0,
50,.LPIC1,b->.L18,53,557,570,208,1,
51,.L19,,52,570,583,208,1,
53,.L18,blt->.L19,51,595,599,64,2,
54,blt->.L19,beq->.L20,56,599,606,112,1,
55,beq->.L20,.L20,56,606,607,16,1,
56,.L20,.L22,end,607,610,48,2,
57,sha_init,,58,610,622,192,0,
60,sha_update,bcs->.L25,62,645,660,240,0,
61,bcs->.L25,.L25,62,660,665,80,1,
62,.L25,b->.L26,67,665,680,240,2,
63,.L27,bl->memcpy(PLT),end,680,686,96,1,
64,bl->memcpy(PLT),sha_final,69,686,690,64,0,
65,bl->byte_reverse(PLT),bl->sha_transform(PLT),end,690,698,128,0,
66,bl->sha_transform(PLT),sha_stream,74,698,702,64,0,
67,.L26,bgt->.L27,63,702,705,48,1,
68,bgt->.L27,bl->memcpy(PLT),end,705,711,96,1,
69,sha_final,,70,711,724,208,1,
71,ble->.L29,bl->memset(PLT),end,736,745,144,1,
72,.L29,bl->memset(PLT),end,745,754,144,1,
73,.L30,bl->byte_reverse(PLT),end,754,759,80,0,
74,sha_stream,.LPIC2,75,759,770,176,1,
75,.LPIC2,bl->sha_init(PLT),end,770,781,176,1,
76,bl->sha_init(PLT),b->.L32,78,781,782,16,0,
77,.L33,bl->sha_update(PLT),end,782,791,144,1,
78,.L32,bl->fread(PLT),end,791,799,128,1,
79,bl->fread(PLT),bgt->.L33,77,799,808,144,0,
80,bgt->.L33,bl->sha_final(PLT),end,808,812,64,1,
81,bl->sha_final(PLT),beq->.L34,83,812,821,144,0,
